date,time_of_day,vehicle_count,congestion_level,day_of_week,Is_Holiday,Weather_Condition,Avg_Speed
2024-01-01,00:00:00,134,0.51,Monday,No,Clear,42
2024-01-01,01:00:00,176,0.86,Monday,No,Rain,37
2024-01-01,02:00:00,147,0.37,Monday,No,Clear,34
2024-01-01,03:00:00,230,0.54,Monday,No,Rain,30
2024-01-01,04:00:00,292,0.56,Monday,No,Rain,59
2024-01-01,05:00:00,296,0.84,Monday,No,Snow,62
2024-01-01,06:00:00,97,0.98,Monday,No,Clear,48
2024-01-01,07:00:00,195,0.7,Monday,No,Rain,30
2024-01-01,08:00:00,281,0.71,Monday,No,Clear,35
2024-01-01,09:00:00,85,0.96,Monday,No,Clear,56
2024-01-01,10:00:00,59,0.87,Monday,No,Rain,28
2024-01-01,11:00:00,187,0.35,Monday,No,Rain,64
2024-01-01,12:00:00,266,0.6,Monday,No,Clear,44
2024-01-01,13:00:00,221,0.86,Monday,No,Clear,40
2024-01-01,14:00:00,51,0.56,Monday,No,Clear,63
2024-01-01,15:00:00,188,0.3,Monday,No,Rain,58
2024-01-01,16:00:00,76,0.91,Monday,No,Rain,51
2024-01-01,17:00:00,184,0.42,Monday,No,Clear,27
2024-01-01,18:00:00,252,0.97,Monday,No,Clear,51
2024-01-01,19:00:00,160,0.47,Monday,No,Clear,43
2024-01-01,20:00:00,284,0.98,Monday,No,Clear,69
2024-01-01,21:00:00,148,0.46,Monday,No,Clear,21
2024-01-01,22:00:00,242,0.81,Monday,No,Snow,35
2024-01-01,23:00:00,281,0.9,Monday,No,Clear,31
2024-01-02,00:00:00,130,0.97,Tuesday,No,Clear,31
2024-01-02,01:00:00,222,0.52,Tuesday,No,Clear,36
2024-01-02,02:00:00,57,0.51,Tuesday,No,Snow,24
2024-01-02,03:00:00,254,0.53,Tuesday,No,Rain,22
2024-01-02,04:00:00,96,0.6,Tuesday,No,Snow,67
2024-01-02,05:00:00,275,0.72,Tuesday,No,Clear,35
2024-01-02,06:00:00,102,0.66,Tuesday,Yes,Clear,23
2024-01-02,07:00:00,206,0.52,Tuesday,No,Clear,61
2024-01-02,08:00:00,122,0.7,Tuesday,No,Clear,23
2024-01-02,09:00:00,277,0.33,Tuesday,No,Clear,43
2024-01-02,10:00:00,57,0.92,Tuesday,No,Clear,30
2024-01-02,11:00:00,294,0.72,Tuesday,No,Rain,52
2024-01-02,12:00:00,241,0.75,Tuesday,No,Snow,50
2024-01-02,13:00:00,86,0.59,Tuesday,No,Clear,63
2024-01-02,14:00:00,261,0.65,Tuesday,No,Clear,57
2024-01-02,15:00:00,78,0.93,Tuesday,No,Clear,57
2024-01-02,16:00:00,192,0.39,Tuesday,No,Clear,62
2024-01-02,17:00:00,138,0.86,Tuesday,No,Clear,58
2024-01-02,18:00:00,52,0.8,Tuesday,No,Snow,54
2024-01-02,19:00:00,172,0.68,Tuesday,No,Clear,39
